MPS4000 Validation Report
S/N:,251
Date,2015/01/01
Time,04:55:44
Channels,64
Pressures,15
Temperatures,3
Error Limit,0.06
 ,Temp,Full Scale,Target,Source,MPS,,Percent
Chan,Deg C,Pressure,Pressure,Pressure,Pressure,Delta,Error
13,16.25,1.000,0.714286,0.714302,0.714267,-0.000035,-0.004,pass
13,16.19,1.000,0.857143,0.857110,0.857260,0.000150,0.015,pass
13,16.19,1.000,1.000000,0.999998,1.000207,0.000209,0.021,pass
13,16.25,1.000,-0.142857,-0.142903,-0.142880,0.000023,0.002,pass
13,16.25,1.000,-0.285714,-0.285719,-0.285771,-0.000053,-0.005,pass
13,16.25,1.000,-0.428571,-0.428603,-0.428657,-0.000054,-0.005,pass
13,16.31,1.000,-0.571429,-0.571410,-0.571487,-0.000077,-0.008,pass
13,16.19,1.000,-0.714286,-0.714308,-0.714280,0.000027,0.003,pass
13,16.19,1.000,-0.857143,-0.857100,-0.857130,-0.000029,-0.003,pass
13,16.25,1.000,-1.000000,-1.000009,-1.000184,-0.000174,-0.017,pass
14,16.19,1.000,0.000000,0.000005,-0.000007,-0.000011,-0.001,pass
14,16.19,1.000,0.142857,0.142918,0.142937,0.000019,0.002,pass
14,16.25,1.000,0.285714,0.285667,0.285768,0.000100,0.010,pass
14,16.13,1.000,0.428571,0.428620,0.428665,0.000044,0.004,pass
14,16.19,1.000,0.571429,0.571409,0.571417,0.000008,0.001,pass
14,16.25,1.000,0.714286,0.714302,0.714239,-0.000063,-0.006,pass
14,16.19,1.000,0.857143,0.857110,0.857208,0.000098,0.010,pass
14,16.19,1.000,1.000000,0.999998,1.000081,0.000083,0.008,pass
14,16.25,1.000,-0.142857,-0.142903,-0.142905,-0.000002,-0.000,pass
14,16.25,1.000,-0.285714,-0.285719,-0.285818,-0.000099,-0.010,pass
14,16.25,1.000,-0.428571,-0.428603,-0.428704,-0.000101,-0.010,pass
14,16.31,1.000,-0.571429,-0.571410,-0.571488,-0.000078,-0.008,pass
14,16.19,1.000,-0.714286,-0.714308,-0.714332,-0.000024,-0.002,pass
14,16.19,1.000,-0.857143,-0.857100,-0.857140,-0.000039,-0.004,pass
14,16.25,1.000,-1.000000,-1.000009,-1.000160,-0.000151,-0.015,pass
15,16.19,1.000,0.000000,0.000005,-0.000037,-0.000042,-0.004,pass
15,16.19,1.000,0.142857,0.142918,0.142954,0.000037,0.004,pass
15,16.25,1.000,0.285714,0.285667,0.285819,0.000152,0.015,pass
15,16.13,1.000,0.428571,0.428620,0.428728,0.000107,0.011,pass
15,16.19,1.000,0.571429,0.571409,0.571517,0.000108,0.011,pass
15,16.25,1.000,0.714286,0.714302,0.714271,-0.000031,-0.003,pass
15,16.19,1.000,0.857143,0.857110,0.857221,0.000111,0.011,pass
15,16.19,1.000,1.000000,0.999998,1.000116,0.000118,0.012,pass
15,16.25,1.000,-0.142857,-0.142903,-0.142909,-0.000006,-0.001,pass
15,16.25,1.000,-0.285714,-0.285719,-0.285840,-0.000121,-0.012,pass
15,16.25,1.000,-0.428571,-0.428603,-0.428703,-0.000100,-0.010,pass
15,16.31,1.000,-0.571429,-0.571410,-0.571552,-0.000142,-0.014,pass
15,16.19,1.000,-0.714286,-0.714308,-0.714377,-0.000069,-0.007,pass
15,16.19,1.000,-0.857143,-0.857100,-0.857238,-0.000137,-0.014,pass
15,16.25,1.000,-1.000000,-1.000009,-1.000254,-0.000245,-0.024,pass
16,16.19,1.000,0.000000,0.000005,-0.000009,-0.000014,-0.001,pass
16,16.19,1.000,0.142857,0.142918,0.142922,0.000004,0.000,pass
16,16.25,1.000,0.285714,0.285667,0.285772,0.000104,0.010,pass
16,16.13,1.000,0.428571,0.428620,0.428664,0.000044,0.004,pass
16,16.19,1.000,0.571429,0.571409,0.571427,0.000018,0.002,pass
16,16.25,1.000,0.714286,0.714302,0.714266,-0.000036,-0.004,pass
16,16.19,1.000,0.857143,0.857110,0.857207,0.000097,0.010,pass
16,16.19,1.000,1.000000,0.999998,1.000113,0.000115,0.012,pass
16,16.25,1.000,-0.142857,-0.142903,-0.142859,0.000045,0.004,pass
16,16.25,1.000,-0.285714,-0.285719,-0.285794,-0.000075,-0.007,pass
16,16.25,1.000,-0.428571,-0.428603,-0.428628,-0.000025,-0.003,pass
16,16.31,1.000,-0.571429,-0.571410,-0.571446,-0.000036,-0.004,pass
16,16.19,1.000,-0.714286,-0.714308,-0.714293,0.000014,0.001,pass
16,16.19,1.000,-0.857143,-0.857100,-0.857112,-0.000012,-0.001,pass
16,16.25,1.000,-1.000000,-1.000009,-1.000149,-0.000139,-0.014,pass
17,16.63,1.000,0.000000,0.000005,-0.000010,-0.000014,-0.001,pass
17,16.63,1.000,0.142857,0.142918,0.142927,0.000009,0.001,pass
17,16.63,1.000,0.285714,0.285667,0.285744,0.000077,0.008,pass
17,16.56,1.000,0.428571,0.428620,0.428718,0.000098,0.010,pass
17,16.63,1.000,0.571429,0.571409,0.571501,0.000091,0.009,pass
17,16.63,1.000,0.714286,0.714302,0.714375,0.000073,0.007,pass
17,16.63,1.000,0.857143,0.857110,0.857230,0.000120,0.012,pass
17,16.56,1.000,1.000000,0.999998,1.000019,0.000021,0.002,pass
17,16.63,1.000,-0.142857,-0.142903,-0.142903,0.000000,0.000,pass
17,16.56,1.000,-0.285714,-0.285719,-0.285765,-0.000047,-0.005,pass
17,16.63,1.000,-0.428571,-0.428603,-0.428742,-0.000138,-0.014,pass
17,16.63,1.000,-0.571429,-0.571410,-0.571592,-0.000182,-0.018,pass
17,16.63,1.000,-0.714286,-0.714308,-0.714473,-0.000165,-0.017,pass
17,16.56,1.000,-0.857143,-0.857100,-0.857168,-0.000067,-0.007,pass
17,16.63,1.000,-1.000000,-1.000009,-1.000168,-0.000159,-0.016,pass
18,16.63,1.000,0.000000,0.000005,-0.000000,-0.000005,-0.001,pass
18,16.63,1.000,0.142857,0.142918,0.142989,0.000071,0.007,pass
18,16.63,1.000,0.285714,0.285667,0.285835,0.000167,0.017,pass
18,16.56,1.000,0.428571,0.428620,0.428731,0.000111,0.011,pass
18,16.63,1.000,0.571429,0.571409,0.571488,0.000079,0.008,pass
18,16.63,1.000,0.714286,0.714302,0.714338,0.000036,0.004,pass
18,16.63,1.000,0.857143,0.857110,0.857177,0.000067,0.007,pass
18,16.56,1.000,1.000000,0.999998,1.000050,0.000051,0.005,pass
18,16.63,1.000,-0.142857,-0.142903,-0.142941,-0.000038,-0.004,pass
18,16.56,1.000,-0.285714,-0.285719,-0.285814,-0.000095,-0.010,pass
18,16.63,1.000,-0.428571,-0.428603,-0.428722,-0.000119,-0.012,pass
18,16.63,1.000,-0.571429,-0.571410,-0.571554,-0.000143,-0.014,pass
18,16.63,1.000,-0.714286,-0.714308,-0.714454,-0.000146,-0.015,pass
18,16.56,1.000,-0.857143,-0.857100,-0.857076,0.000024,0.002,pass
18,16.63,1.000,-1.000000,-1.000009,-1.000197,-0.000187,-0.019,pass
19,16.63,1.000,0.000000,0.000005,0.000019,0.000014,0.001,pass
19,16.63,1.000,0.142857,0.142918,0.142926,0.000008,0.001,pass
19,16.63,1.000,0.285714,0.285667,0.285803,0.000136,0.014,pass
19,16.56,1.000,0.428571,0.428620,0.428726,0.000106,0.011,pass
19,16.63,1.000,0.571429,0.571409,0.571498,0.000089,0.009,pass
19,16.63,1.000,0.714286,0.714302,0.714351,0.000049,0.005,pass
19,16.63,1.000,0.857143,0.857110,0.857194,0.000084,0.008,pass
19,16.56,1.000,1.000000,0.999998,1.000069,0.000071,0.007,pass
19,16.63,1.000,-0.142857,-0.142903,-0.142889,0.000014,0.001,pass
19,16.56,1.000,-0.285714,-0.285719,-0.285749,-0.000030,-0.003,pass
19,16.63,1.000,-0.428571,-0.428603,-0.428688,-0.000084,-0.008,pass
19,16.63,1.000,-0.571429,-0.571410,-0.571560,-0.000150,-0.015,pass
19,16.63,1.000,-0.714286,-0.714308,-0.714435,-0.000128,-0.013,pass
19,16.56,1.000,-0.857143,-0.857100,-0.857127,-0.000027,-0.003,pass
19,16.63,1.000,-1.000000,-1.000009,-1.000148,-0.000138,-0.014,pass
20,16.63,1.000,0.000000,0.000005,0.000025,0.000021,0.002,pass
20,16.63,1.000,0.142857,0.142918,0.142972,0.000055,0.005,pass
20,16.63,1.000,0.285714,0.285667,0.285815,0.000148,0.015,pass
20,16.56,1.000,0.428571,0.428620,0.428763,0.000143,0.014,pass
20,16.63,1.000,0.571429,0.571409,0.571500,0.000091,0.009,pass
20,16.63,1.000,0.714286,0.714302,0.714378,0.000076,0.008,pass
20,16.63,1.000,0.857143,0.857110,0.857241,0.000131,0.013,pass
20,16.56,1.000,1.000000,0.999998,1.000050,0.000052,0.005,pass
20,16.63,1.000,-0.142857,-0.142903,-0.142864,0.000039,0.004,pass
20,16.56,1.000,-0.285714,-0.285719,-0.285728,-0.000009,-0.001,pass
20,16.63,1.000,-0.428571,-0.428603,-0.428579,0.000024,0.002,pass
20,16.63,1.000,-0.571429,-0.571410,-0.571439,-0.000029,-0.003,pass
20,16.63,1.000,-0.714286,-0.714308,-0.714342,-0.000034,-0.003,pass
20,16.56,1.000,-0.857143,-0.857100,-0.857005,0.000096,0.010,pass
20,16.63,1.000,-1.000000,-1.000009,-1.000115,-0.000105,-0.011,pass
21,16.53,1.000,0.000000,0.000005,0.000029,0.000024,0.002,pass
21,16.53,1.000,0.142857,0.142918,0.142950,0.000032,0.003,pass
21,16.53,1.000,0.285714,0.285667,0.285813,0.000146,0.015,pass
21,16.50,1.000,0.428571,0.428620,0.428750,0.000129,0.013,pass
21,16.53,1.000,0.571429,0.571409,0.571473,0.000063,0.006,pass
21,16.56,1.000,0.714286,0.714302,0.714366,0.000064,0.006,pass
21,16.53,1.000,0.857143,0.857110,0.857239,0.000129,0.013,pass
21,16.50,1.000,1.000000,0.999998,1.000077,0.000079,0.008,pass
21,16.53,1.000,-0.142857,-0.142903,-0.142835,0.000068,0.007,pass
21,16.50,1.000,-0.285714,-0.285719,-0.285718,0.000001,0.000,pass
21,16.53,1.000,-0.428571,-0.428603,-0.428584,0.000019,0.002,pass
21,16.53,1.000,-0.571429,-0.571410,-0.571428,-0.000018,-0.002,pass
21,16.53,1.000,-0.714286,-0.714308,-0.714402,-0.000094,-0.009,pass
21,16.50,1.000,-0.857143,-0.857100,-0.857133,-0.000032,-0.003,pass
21,16.53,1.000,-1.000000,-1.000009,-1.000074,-0.000065,-0.006,pass
22,16.53,1.000,0.000000,0.000005,0.000023,0.000018,0.002,pass
22,16.53,1.000,0.142857,0.142918,0.142977,0.000060,0.006,pass
22,16.53,1.000,0.285714,0.285667,0.285876,0.000209,0.021,pass
22,16.50,1.000,0.428571,0.428620,0.428840,0.000219,0.022,pass
22,16.53,1.000,0.571429,0.571409,0.571559,0.000150,0.015,pass
22,16.56,1.000,0.714286,0.714302,0.714437,0.000135,0.014,pass
22,16.53,1.000,0.857143,0.857110,0.857300,0.000190,0.019,pass
22,16.50,1.000,1.000000,0.999998,1.000140,0.000142,0.014,pass
22,16.53,1.000,-0.142857,-0.142903,-0.142948,-0.000045,-0.004,pass
22,16.50,1.000,-0.285714,-0.285719,-0.285819,-0.000100,-0.010,pass
22,16.53,1.000,-0.428571,-0.428603,-0.428714,-0.000111,-0.011,pass
22,16.53,1.000,-0.571429,-0.571410,-0.571528,-0.000118,-0.012,pass
